transaction_id,amount,timestamp,location,device_type,merchant_category,transaction_type,previous_transaction_gap,is_new_device,hour,is_night,fraud_label
TXN100024,3044.67,2026-03-26 10:11:30,Bangalore,iOS,Electronics,Peer-to-Peer,7645,0,10,0,0
TXN100025,7689.68,2026-03-24 19:56:30,International,Android,Electronics,Peer-to-Peer,1111,0,19,0,0
TXN100026,1113.68,2026-03-28 08:53:30,International,iOS,Gambling,Peer-to-Peer,8654,0,8,0,0
TXN100027,3610.15,2026-03-31 11:04:30,International,Android,Electronics,Merchant-Payment,8514,0,11,0,0
TXN100028,4487.52,2026-03-29 17:15:30,Delhi,Android,Gambling,QR-Scan,4511,0,17,0,0
TXN100029,237.82,2026-03-26 17:26:30,Mumbai,iOS,Groceries,Merchant-Payment,1875,0,17,0,0
TXN100030,4676.67,2026-03-27 15:56:30,Unknown,Android,Transfer,QR-Scan,3040,0,15,0,0
TXN100031,934.81,2026-03-28 08:58:30,Unknown,iOS,Jewelry,Merchant-Payment,1257,0,8,0,0
TXN100032,336.32,2026-03-29 18:23:30,International,Android,Gambling,Merchant-Payment,3241,1,18,0,1
TXN100033,14868.44,2026-03-29 02:03:30,Hyderabad,Android,Groceries,Merchant-Payment,4264,0,2,1,0
TXN100034,16853.15,2026-03-27 16:56:30,Bangalore,Android,Jewelry,Merchant-Payment,5270,0,16,0,0
TXN100035,8261.66,2026-03-30 08:56:30,Mumbai,Android,Entertainment,QR-Scan,7718,0,8,0,0
TXN100036,1816.44,2026-03-30 11:31:30,Mumbai,Android,Transfer,Peer-to-Peer,1410,0,11,0,0
TXN100037,513.89,2026-03-27 05:06:30,Mumbai,Android,Groceries,Peer-to-Peer,1833,0,5,1,0
TXN100038,5763.75,2026-03-30 10:26:30,Delhi,Android,Gambling,QR-Scan,2025,0,10,0,0
TXN100039,2900.45,2026-03-27 10:49:30,Delhi,Android,Jewelry,Merchant-Payment,5737,0,10,0,0
TXN100040,650.76,2026-03-27 14:55:30,Unknown,Android,Jewelry,Merchant-Payment,4994,0,14,0,0
TXN100041,3417.74,2026-03-24 15:59:30,International,Android,Transfer,QR-Scan,7635,0,15,0,0
TXN100042,174.97,2026-03-28 12:37:30,Bangalore,Android,Transfer,Peer-to-Peer,4958,1,12,0,0
TXN100043,12002.11,2026-03-31 00:59:30,Bangalore,iOS,Jewelry,Merchant-Payment,3214,0,0,1,1
TXN100044,1497.29,2026-03-26 07:23:30,Unknown,iOS,Entertainment,Merchant-Payment,6209,0,7,0,0
TXN100045,5431.28,2026-03-25 10:25:30,Unknown,iOS,Transfer,QR-Scan,9645,0,10,0,0
TXN100046,1867.73,2026-03-30 02:45:30,International,Android,Entertainment,QR-Scan,6454,0,2,1,0
TXN100047,3670.55,2026-03-27 05:29:30,Hyderabad,Android,Jewelry,Peer-to-Peer,2754,1,5,1,1
TXN100048,3956.12,2026-03-30 15:19:30,Bangalore,Android,Gambling,Peer-to-Peer,7329,0,15,0,0
TXN100049,1021.94,2026-03-25 06:06:30,Bangalore,iOS,Transfer,Peer-to-Peer,306,1,6,0,0
TXN100050,17464.04,2026-03-28 04:47:30,Unknown,iOS,Groceries,Peer-to-Peer,1385,0,4,1,0
TXN100051,7461.23,2026-03-27 10:05:30,Delhi,iOS,Electronics,Peer-to-Peer,3368,0,10,0,0
TXN100052,14025.47,2026-03-24 23:11:30,International,iOS,Transfer,Merchant-Payment,1575,0,23,1,0
TXN100053,11260.76,2026-03-29 08:20:30,International,Android,Transfer,Merchant-Payment,873,0,8,0,0
TXN100054,4555.27,2026-03-30 17:51:30,Delhi,iOS,Transfer,QR-Scan,8361,0,17,0,0
TXN100055,12747.18,2026-03-31 00:20:30,Mumbai,iOS,Electronics,Merchant-Payment,5579,1,0,1,0
TXN100056,463.28,2026-03-28 22:37:30,Unknown,Android,Jewelry,Peer-to-Peer,9796,0,22,0,0
TXN100057,1090.67,2026-03-28 05:49:30,Unknown,iOS,Transfer,Merchant-Payment,1031,0,5,1,0
TXN100058,231.41,2026-03-30 15:03:30,Delhi,Web,Transfer,QR-Scan,7765,0,15,0,0
TXN100059,1967.66,2026-03-28 21:16:30,Delhi,Android,Groceries,QR-Scan,9927,0,21,0,0
TXN100060,2460.65,2026-03-30 09:16:30,Delhi,iOS,Electronics,Peer-to-Peer,6732,0,9,0,0
TXN100061,1582.8,2026-03-27 05:03:30,Unknown,Android,Entertainment,Peer-to-Peer,6906,0,5,1,0
TXN100062,8822.79,2026-03-28 08:56:30,International,iOS,Groceries,QR-Scan,4443,0,8,0,0
TXN100063,2206.13,2026-03-26 09:02:30,Delhi,iOS,Jewelry,QR-Scan,3668,0,9,0,0
TXN100064,1649.01,2026-03-27 09:13:30,Mumbai,iOS,Transfer,QR-Scan,1277,0,9,0,0
TXN100065,3912.04,2026-03-29 16:26:30,International,iOS,Jewelry,Peer-to-Peer,6554,0,16,0,0
TXN100066,759.49,2026-03-27 07:45:30,Delhi,Android,Entertainment,Peer-to-Peer,543,0,7,0,0
TXN100067,8102.42,2026-03-27 11:50:30,Hyderabad,Android,Entertainment,Peer-to-Peer,8547,0,11,0,0
TXN100068,387.38,2026-03-29 03:38:30,Delhi,Android,Gambling,Merchant-Payment,4809,0,3,1,0
TXN100069,21670.73,2026-03-28 11:56:30,Bangalore,iOS,Electronics,Peer-to-Peer,7732,0,11,0,0
TXN100070,7397.42,2026-03-30 17:21:30,Unknown,iOS,Electronics,Merchant-Payment,584,0,17,0,0
TXN100071,1107.7,2026-03-24 14:30:30,International,iOS,Entertainment,QR-Scan,511,0,14,0,0
TXN100072,27.69,2026-03-29 14:07:30,International,Android,Electronics,QR-Scan,6677,0,14,0,0
TXN100073,8449.48,2026-03-25 10:59:30,Mumbai,Android,Gambling,Peer-to-Peer,6672,0,10,0,0
TXN100074,6135.48,2026-03-28 18:00:30,Mumbai,Old Android,Groceries,QR-Scan,9139,0,18,0,0
TXN100075,6528.31,2026-03-29 16:13:30,Delhi,Android,Electronics,Merchant-Payment,7696,0,16,0,0
TXN100076,7376.07,2026-03-26 06:37:30,International,Android,Gambling,Peer-to-Peer,3474,0,6,0,0
TXN100077,384.65,2026-03-27 05:14:30,International,Android,Gambling,Peer-to-Peer,1199,0,5,1,1
TXN100078,2219.46,2026-03-28 11:08:30,Delhi,iOS,Transfer,Peer-to-Peer,3996,0,11,0,0
TXN100079,615.75,2026-03-25 04:45:30,Hyderabad,Android,Jewelry,QR-Scan,4536,0,4,1,1
TXN100080,9942.65,2026-03-29 00:52:30,Unknown,iOS,Groceries,Peer-to-Peer,5872,0,0,1,0
TXN100081,4881.51,2026-03-27 20:17:30,Unknown,iOS,Electronics,QR-Scan,3304,0,20,0,0
TXN100082,2009.09,2026-03-30 21:34:30,Bangalore,Android,Jewelry,Merchant-Payment,2448,0,21,0,0
TXN100083,328.34,2026-03-28 22:18:30,International,iOS,Transfer,Peer-to-Peer,9409,0,22,0,1
TXN100084,1862.44,2026-03-31 04:05:30,Unknown,Android,Entertainment,Merchant-Payment,7740,0,4,1,0
TXN100085,1966.57,2026-03-27 22:42:30,International,Android,Electronics,Peer-to-Peer,6845,0,22,0,0
TXN100086,6539.38,2026-03-26 23:18:30,Bangalore,Android,Groceries,Peer-to-Peer,1291,0,23,1,0
TXN100087,5074.45,2026-03-28 11:44:30,International,Android,Transfer,QR-Scan,5835,0,11,0,0
TXN100088,10911.26,2026-03-30 18:46:30,Bangalore,Android,Transfer,Peer-to-Peer,7550,1,18,0,0
TXN100089,3195.33,2026-03-29 03:14:30,Delhi,Android,Jewelry,QR-Scan,6688,1,3,1,1
TXN100090,636.86,2026-03-25 01:58:30,Hyderabad,Android,Entertainment,Peer-to-Peer,8694,0,1,1,0
TXN100091,6245.63,2026-03-27 22:55:30,Hyderabad,Android,Entertainment,Peer-to-Peer,7429,0,22,0,0
TXN100092,7151.96,2026-03-29 02:47:30,Unknown,iOS,Entertainment,Peer-to-Peer,387,0,2,1,0
TXN100093,4119.44,2026-03-25 20:31:30,Mumbai,iOS,Transfer,QR-Scan,8604,0,20,0,0
TXN100094,7369.45,2026-03-27 00:48:30,Delhi,Android,Transfer,QR-Scan,2007,0,0,1,0
TXN100095,3404.07,2026-03-26 07:33:30,Delhi,iOS,Transfer,Peer-to-Peer,5214,0,7,0,0
TXN100096,3698.39,2026-03-29 21:50:30,Unknown,Android,Gambling,Peer-to-Peer,2148,0,21,0,0
TXN100097,2789.07,2026-03-28 12:31:30,Hyderabad,iOS,Entertainment,QR-Scan,3869,0,12,0,0
TXN100098,128.74,2026-03-29 22:43:30,Unknown,Android,Transfer,Merchant-Payment,9531,0,22,0,0
TXN100099,570.84,2026-03-28 17:30:30,Unknown,Android,Transfer,Peer-to-Peer,6038,0,17,0,0
TXN100100,159.67,2026-03-25 03:33:30,International,Android,Groceries,QR-Scan,6638,0,3,1,0
TXN100101,5058.65,2026-03-25 09:40:30,Bangalore,Android,Gambling,Peer-to-Peer,353,1,9,0,0
TXN100102,1886.98,2026-03-28 13:06:30,Mumbai,iOS,Transfer,QR-Scan,4965,0,13,0,0
TXN100103,3552.19,2026-03-24 21:13:30,Hyderabad,Android,Transfer,Peer-to-Peer,3189,0,21,0,0
TXN100104,11906.33,2026-03-26 15:51:30,Unknown,Android,Groceries,Merchant-Payment,1303,0,15,0,0
TXN100105,1433.69,2026-03-24 21:30:30,Mumbai,Android,Groceries,Merchant-Payment,7750,0,21,0,0
TXN100106,2641.41,2026-03-26 23:47:30,Unknown,Web,Gambling,Peer-to-Peer,847,1,23,1,1
TXN100107,7043.75,2026-03-27 10:00:30,International,Android,Jewelry,Merchant-Payment,7522,0,10,0,0
TXN100108,1299.03,2026-03-29 00:57:30,Unknown,iOS,Electronics,Merchant-Payment,8718,0,0,1,0
TXN100109,400.52,2026-03-29 23:04:30,Delhi,iOS,Jewelry,Merchant-Payment,2525,0,23,1,1
TXN100110,1710.7,2026-03-25 17:42:30,Unknown,iOS,Groceries,Peer-to-Peer,1879,0,17,0,0
TXN100111,879.04,2026-03-25 22:05:30,Delhi,Android,Jewelry,QR-Scan,4106,0,22,0,0
TXN100112,13274.75,2026-03-30 12:01:30,Bangalore,iOS,Jewelry,Peer-to-Peer,3631,1,12,0,0
TXN100113,8254.44,2026-03-30 23:59:30,International,Android,Transfer,Merchant-Payment,7671,0,23,1,0
TXN100114,5017.47,2026-03-30 06:54:30,International,iOS,Electronics,QR-Scan,6668,0,6,0,0
TXN100115,10257.6,2026-03-29 19:06:30,Delhi,Android,Jewelry,QR-Scan,2820,1,19,0,0
TXN100116,8139.84,2026-03-29 17:09:30,Hyderabad,Android,Groceries,QR-Scan,5980,0,17,0,0
TXN100117,1032.48,2026-03-26 17:34:30,Unknown,iOS,Transfer,QR-Scan,8078,0,17,0,0
TXN100118,11154.07,2026-03-24 17:59:30,Delhi,Old Android,Groceries,Merchant-Payment,9251,0,17,0,0
TXN100119,3875.5,2026-03-30 19:30:30,International,Android,Transfer,Peer-to-Peer,2490,1,19,0,1
TXN100120,8236.74,2026-03-27 03:46:30,Delhi,iOS,Jewelry,Merchant-Payment,5689,0,3,1,0
TXN100121,11321.21,2026-03-27 04:38:30,Delhi,Android,Groceries,Peer-to-Peer,3265,1,4,1,0
TXN100122,1913.65,2026-03-24 18:07:30,Delhi,iOS,Entertainment,Merchant-Payment,6024,0,18,0,0
TXN100123,582.96,2026-03-26 05:02:30,Mumbai,iOS,Groceries,Merchant-Payment,2294,0,5,1,0
TXN100124,1293.43,2026-03-25 12:21:30,International,Android,Electronics,QR-Scan,675,0,12,0,0
TXN100125,2785.29,2026-03-28 16:11:30,Unknown,Android,Electronics,QR-Scan,6258,0,16,0,0
TXN100126,8519.15,2026-03-25 05:46:30,Hyderabad,iOS,Transfer,Peer-to-Peer,1012,0,5,1,0
TXN100127,9856.72,2026-03-31 09:42:30,Mumbai,Web,Gambling,QR-Scan,8986,1,9,0,0
TXN100128,34.88,2026-03-30 05:34:30,Mumbai,Android,Entertainment,QR-Scan,233,0,5,1,0
TXN100129,3574.38,2026-03-25 10:13:30,International,Android,Electronics,QR-Scan,3028,0,10,0,0
TXN100130,2701.37,2026-03-28 11:59:30,Bangalore,Web,Electronics,Merchant-Payment,3610,0,11,0,0
TXN100131,1255.84,2026-03-27 15:57:30,Hyderabad,Android,Groceries,QR-Scan,2174,0,15,0,0
TXN100132,638.4,2026-03-30 06:23:30,Hyderabad,Android,Entertainment,Peer-to-Peer,3385,0,6,0,0
TXN100133,2059.54,2026-03-28 04:42:30,Mumbai,Android,Entertainment,QR-Scan,2329,1,4,1,0
TXN100134,14315.61,2026-03-26 14:07:30,Bangalore,Android,Transfer,Peer-to-Peer,798,0,14,0,0
TXN100135,1951.92,2026-03-29 17:39:30,International,iOS,Electronics,QR-Scan,7122,0,17,0,0
TXN100136,3657.26,2026-03-26 08:57:30,Delhi,iOS,Groceries,Peer-to-Peer,3685,0,8,0,0
TXN100137,6070.43,2026-03-31 11:57:30,Delhi,iOS,Electronics,QR-Scan,4488,0,11,0,0
TXN100138,2259.87,2026-03-28 12:55:30,Unknown,Android,Gambling,Peer-to-Peer,7691,0,12,0,0
TXN100139,17838.99,2026-03-25 20:09:30,Bangalore,Android,Gambling,Merchant-Payment,2590,0,20,0,0
TXN100140,16410.05,2026-03-29 12:03:30,Delhi,Android,Transfer,Peer-to-Peer,4702,0,12,0,0
TXN100141,1450.31,2026-03-25 18:13:30,Mumbai,Web,Transfer,QR-Scan,8701,0,18,0,0
TXN100142,3438.3,2026-03-30 07:47:30,Hyderabad,iOS,Entertainment,QR-Scan,7668,1,7,0,0
TXN100143,1789.65,2026-03-28 03:21:30,Unknown,Android,Electronics,Peer-to-Peer,6415,0,3,1,0
TXN100144,1676.25,2026-03-25 18:13:30,International,iOS,Groceries,Merchant-Payment,1464,0,18,0,0
TXN100145,187.92,2026-03-24 14:33:30,Unknown,iOS,Transfer,Merchant-Payment,3111,0,14,0,0
TXN100146,4702.46,2026-03-29 06:32:30,Bangalore,Android,Groceries,Merchant-Payment,1048,0,6,0,0
TXN100147,3492.6,2026-03-29 19:06:30,Hyderabad,Android,Entertainment,Merchant-Payment,4872,0,19,0,0
TXN100148,264.26,2026-03-27 06:44:30,Bangalore,iOS,Groceries,Peer-to-Peer,5290,0,6,0,0
TXN100149,1633.13,2026-03-29 16:44:30,Unknown,Android,Entertainment,Merchant-Payment,4436,1,16,0,1
TXN100150,11944.3,2026-03-25 09:33:30,Mumbai,Android,Jewelry,Peer-to-Peer,8361,0,9,0,0
TXN100151,1369.3,2026-03-25 12:01:30,Hyderabad,iOS,Electronics,Peer-to-Peer,1562,0,12,0,0
TXN100152,782.65,2026-03-31 12:41:30,Hyderabad,Android,Jewelry,Peer-to-Peer,7860,0,12,0,0
TXN100153,3361.36,2026-03-24 17:17:30,International,Android,Jewelry,Merchant-Payment,6806,0,17,0,0
TXN100154,21220.18,2026-03-27 20:20:30,Unknown,Android,Electronics,QR-Scan,7813,0,20,0,0
TXN100155,1385.72,2026-03-25 23:25:30,Delhi,Android,Gambling,QR-Scan,6287,0,23,1,1
TXN100156,5575.78,2026-03-31 07:31:30,Hyderabad,Android,Transfer,Merchant-Payment,7844,0,7,0,0
TXN100157,7169.44,2026-03-30 06:18:30,Mumbai,Android,Electronics,QR-Scan,575,0,6,0,0
TXN100158,1356.67,2026-03-27 09:43:30,Hyderabad,Android,Gambling,Peer-to-Peer,9935,0,9,0,0
TXN100159,6513.74,2026-03-28 00:52:30,International,Android,Entertainment,Peer-to-Peer,4017,0,0,1,1
TXN100160,2292.61,2026-03-28 19:27:30,Hyderabad,iOS,Transfer,QR-Scan,7228,0,19,0,0
TXN100161,5002.52,2026-03-30 21:01:30,Delhi,iOS,Entertainment,Merchant-Payment,4025,0,21,0,0
TXN100162,5019.19,2026-03-28 19:04:30,Hyderabad,Android,Groceries,QR-Scan,8723,0,19,0,0
TXN100163,3836.93,2026-03-25 01:55:30,Bangalore,iOS,Entertainment,Peer-to-Peer,991,0,1,1,0
TXN100164,473.15,2026-03-30 15:20:30,Hyderabad,iOS,Groceries,QR-Scan,2121,0,15,0,0
TXN100165,9018.22,2026-03-30 13:27:30,Hyderabad,Old Android,Gambling,QR-Scan,4965,0,13,0,0
TXN100166,1934.05,2026-03-26 00:08:30,International,Android,Transfer,QR-Scan,2442,0,0,1,0
TXN100167,1032.16,2026-03-30 17:57:30,Hyderabad,iOS,Transfer,QR-Scan,5878,0,17,0,0
TXN100168,208.15,2026-03-25 11:23:30,Unknown,Android,Entertainment,Merchant-Payment,2521,0,11,0,0
TXN100169,4468.89,2026-03-30 02:30:30,International,iOS,Electronics,Peer-to-Peer,4409,0,2,1,0
TXN100170,5659.26,2026-03-30 01:47:30,Unknown,iOS,Transfer,QR-Scan,9654,0,1,1,0
TXN100171,83.63,2026-03-26 03:03:30,Hyderabad,iOS,Gambling,QR-Scan,952,0,3,1,1
TXN100172,3588.15,2026-03-25 06:43:30,Delhi,iOS,Transfer,QR-Scan,965,0,6,0,0
TXN100173,1284.12,2026-03-29 15:45:30,International,iOS,Entertainment,QR-Scan,2135,0,15,0,0
TXN100174,5180.62,2026-03-28 12:28:30,Bangalore,Android,Jewelry,QR-Scan,4455,1,12,0,0
TXN100175,958.02,2026-03-25 12:45:30,Unknown,iOS,Transfer,Peer-to-Peer,8887,0,12,0,0
TXN100176,5871.06,2026-03-24 15:12:30,International,Android,Groceries,Merchant-Payment,2245,0,15,0,0
TXN100177,2444.79,2026-03-26 17:18:30,Mumbai,iOS,Electronics,Peer-to-Peer,2804,0,17,0,0
TXN100178,13801.72,2026-03-29 03:00:30,International,Web,Gambling,QR-Scan,3912,0,3,1,1
TXN100179,739.72,2026-03-25 09:35:30,Unknown,Android,Entertainment,QR-Scan,1409,0,9,0,0
TXN100180,2085.66,2026-03-29 05:55:30,Delhi,iOS,Gambling,Merchant-Payment,5238,0,5,1,1
TXN100181,602.22,2026-03-27 23:43:30,Delhi,Android,Electronics,QR-Scan,4594,0,23,1,0
TXN100182,12930.95,2026-03-26 23:53:30,Unknown,Android,Entertainment,Merchant-Payment,8052,0,23,1,0
TXN100183,10491.67,2026-03-27 06:52:30,International,iOS,Gambling,Peer-to-Peer,8654,0,6,0,0
TXN100184,1491.64,2026-03-26 13:13:30,International,Android,Gambling,Peer-to-Peer,7664,0,13,0,0
TXN100185,5393.81,2026-03-25 15:31:30,Hyderabad,Android,Electronics,QR-Scan,9810,0,15,0,0
TXN100186,8497.42,2026-03-26 09:33:30,International,iOS,Gambling,Merchant-Payment,7114,1,9,0,1
TXN100187,4050.66,2026-03-30 03:48:30,Unknown,Android,Jewelry,Merchant-Payment,8143,0,3,1,1
TXN100188,3771.4,2026-03-28 17:09:30,Delhi,iOS,Entertainment,Merchant-Payment,6378,0,17,0,0
TXN100189,1384.39,2026-03-28 23:29:30,Mumbai,Android,Electronics,Merchant-Payment,8609,0,23,1,0
TXN100190,488.63,2026-03-30 19:21:30,Delhi,Old Android,Transfer,QR-Scan,5602,0,19,0,0
TXN100191,11375.62,2026-03-27 16:31:30,Hyderabad,Android,Jewelry,Peer-to-Peer,1389,0,16,0,0
TXN100192,11533.87,2026-03-31 07:06:30,Delhi,Android,Transfer,QR-Scan,6297,0,7,0,0
TXN100193,5013.35,2026-03-24 20:12:30,Bangalore,Android,Transfer,QR-Scan,4368,0,20,0,0
TXN100194,2070.23,2026-03-25 05:35:30,Hyderabad,iOS,Jewelry,Peer-to-Peer,9939,0,5,1,1
TXN100195,2147.84,2026-03-28 22:00:30,Delhi,Android,Electronics,Peer-to-Peer,3979,0,22,0,0
TXN100196,6472.33,2026-03-24 20:09:30,Unknown,Old Android,Electronics,Merchant-Payment,4491,0,20,0,0
TXN100197,11370.49,2026-03-29 00:42:30,Mumbai,Android,Electronics,Merchant-Payment,853,0,0,1,0
TXN100198,10905.66,2026-03-31 10:53:30,Mumbai,Android,Electronics,Merchant-Payment,6378,0,10,0,0
TXN100199,7567.81,2026-03-30 17:27:30,Hyderabad,Android,Groceries,QR-Scan,9904,0,17,0,0
TXN100200,5136.55,2026-03-30 20:46:30,Hyderabad,Android,Jewelry,Merchant-Payment,6502,1,20,0,0
TXN100201,439.46,2026-03-28 22:20:30,Mumbai,Android,Entertainment,QR-Scan,8115,0,22,0,0
TXN100202,881.47,2026-03-30 18:26:30,International,iOS,Entertainment,Peer-to-Peer,8429,0,18,0,0
TXN100203,11441.15,2026-03-31 04:16:30,Mumbai,Old Android,Jewelry,QR-Scan,1057,0,4,1,1
TXN100204,4662.47,2026-03-27 18:37:30,International,iOS,Electronics,QR-Scan,2261,0,18,0,0
TXN100205,46.2,2026-03-30 17:30:30,Delhi,iOS,Groceries,QR-Scan,9218,0,17,0,0
TXN100206,534.98,2026-03-25 16:27:30,Delhi,iOS,Entertainment,Peer-to-Peer,909,1,16,0,0
TXN100207,5445.81,2026-03-28 19:51:30,International,iOS,Entertainment,Merchant-Payment,450,0,19,0,0
TXN100208,25.37,2026-03-28 08:48:30,International,Android,Entertainment,Peer-to-Peer,569,0,8,0,0
TXN100209,876.58,2026-03-26 00:17:30,Unknown,Android,Groceries,Peer-to-Peer,3499,0,0,1,0
TXN100210,3978.49,2026-03-29 02:20:30,Hyderabad,iOS,Groceries,Peer-to-Peer,5871,0,2,1,0
TXN100211,5886.58,2026-03-25 09:36:30,Delhi,Android,Groceries,Peer-to-Peer,1309,0,9,0,0
TXN100212,5277.21,2026-03-30 00:43:30,Mumbai,iOS,Entertainment,QR-Scan,718,0,0,1,0
TXN100213,1269.75,2026-03-25 00:55:30,Mumbai,iOS,Jewelry,QR-Scan,9162,0,0,1,1
TXN100214,6227.09,2026-03-24 23:30:30,Mumbai,iOS,Entertainment,Peer-to-Peer,3346,0,23,1,0
TXN100215,1354.12,2026-03-26 03:46:30,Delhi,iOS,Electronics,Merchant-Payment,7215,0,3,1,0
TXN100216,1968.17,2026-03-28 18:29:30,Delhi,Android,Jewelry,Merchant-Payment,7683,0,18,0,0
TXN100217,6861.79,2026-03-26 03:41:30,Mumbai,iOS,Gambling,QR-Scan,2719,0,3,1,1
TXN100218,5243.87,2026-03-26 21:41:30,Mumbai,iOS,Transfer,Peer-to-Peer,9096,0,21,0,0
TXN100219,9459.78,2026-03-29 08:51:30,Hyderabad,Android,Gambling,Peer-to-Peer,9643,0,8,0,0
TXN100220,5359.07,2026-03-30 11:05:30,Bangalore,Android,Entertainment,Merchant-Payment,1456,0,11,0,0
TXN100221,4200.22,2026-03-30 10:22:30,Bangalore,Web,Electronics,QR-Scan,7298,0,10,0,0
TXN100222,491.79,2026-03-26 15:08:30,Mumbai,Android,Transfer,Peer-to-Peer,7036,0,15,0,0
TXN100223,2292.08,2026-03-27 12:06:30,Mumbai,iOS,Transfer,Peer-to-Peer,4231,0,12,0,0
TXN100224,1540.8,2026-03-26 17:11:30,International,Android,Entertainment,Peer-to-Peer,532,0,17,0,0
TXN100225,1398.5,2026-03-26 20:35:30,Hyderabad,iOS,Jewelry,QR-Scan,2268,0,20,0,0
TXN100226,18061.55,2026-03-26 05:19:30,International,Android,Groceries,Peer-to-Peer,333,0,5,1,0
TXN100227,2496.94,2026-03-30 22:03:30,International,iOS,Transfer,Merchant-Payment,5250,0,22,0,0
TXN100228,11130.28,2026-03-30 09:58:30,Unknown,Android,Electronics,Peer-to-Peer,7200,0,9,0,0
TXN100229,4986.67,2026-03-30 20:17:30,Unknown,Android,Gambling,Peer-to-Peer,5722,0,20,0,0
TXN100230,7919.13,2026-03-26 22:54:30,Mumbai,iOS,Gambling,QR-Scan,9514,0,22,0,0
TXN100231,3492.18,2026-03-27 16:11:30,Hyderabad,Android,Electronics,Merchant-Payment,8013,0,16,0,0
TXN100232,4300.78,2026-03-30 07:00:30,Unknown,Android,Gambling,Merchant-Payment,7929,0,7,0,0
TXN100233,3391.47,2026-03-28 16:57:30,Delhi,Android,Transfer,Merchant-Payment,9901,0,16,0,0
TXN100234,1086.07,2026-03-29 08:31:30,Bangalore,iOS,Entertainment,Peer-to-Peer,6501,0,8,0,0
TXN100235,6408.81,2026-03-29 08:54:30,Mumbai,Android,Transfer,Merchant-Payment,401,0,8,0,0
TXN100236,1647.89,2026-03-25 10:24:30,Mumbai,Android,Transfer,Peer-to-Peer,7040,0,10,0,0
TXN100237,123.08,2026-03-26 10:20:30,Unknown,Android,Entertainment,Peer-to-Peer,3992,0,10,0,0
TXN100238,5184.84,2026-03-29 22:34:30,International,Android,Jewelry,Merchant-Payment,9671,0,22,0,0
TXN100239,974.67,2026-03-26 17:38:30,Delhi,iOS,Groceries,QR-Scan,1058,0,17,0,0
TXN100240,14105.42,2026-03-29 10:44:30,Delhi,iOS,Jewelry,QR-Scan,7934,0,10,0,0
TXN100241,15387.81,2026-03-28 08:47:30,Delhi,iOS,Groceries,Merchant-Payment,2994,0,8,0,0
TXN100242,12317.55,2026-03-26 06:31:30,International,Android,Gambling,Peer-to-Peer,8234,0,6,0,0
